Selfish – Madison Beer	Selfish	Madison Beer
Toxic – Britney Spears	Toxic	Britney Spears
"Let Me Love You – DJ Snake, Justin Bieber"	Let Me Love You	"DJ Snake, Justin Bieber"
you broke me first – Tate McRae	you broke me first	Tate McRae
Heather – Conan Gray	Heather	Conan Gray
Praise You - Radio Edit – Fatboy Slim	Praise You - Radio Edit	Fatboy Slim
Dynamite – BTS	Dynamite	BTS
Sucker – Jonas Brothers	Sucker	Jonas Brothers
LDN – Lily Allen	LDN	Lily Allen
"You Don't Know Me – Jax Jones, RAYE"	You Don't Know Me	"Jax Jones, RAYE"
Quite Miss Home – James Arthur	Quite Miss Home	James Arthur
"It Wasn't Me – Shaggy, Rik Rok"	It Wasn't Me	"Shaggy, Rik Rok"
"Learn To Fly – Surfaces, Elton John"	Learn To Fly	"Surfaces, Elton John"
No Letting Go – Wayne Wonder	No Letting Go	Wayne Wonder
Give It Up – KC & The Sunshine Band	Give It Up	KC & The Sunshine Band
"I Feel It Coming – The Weeknd, Daft Punk"	I Feel It Coming	"The Weeknd, Daft Punk"
It's My Life – Talk Talk	It's My Life	Talk Talk
"Together In Electric Dreams - Remastered / From ""Electric Dreams"" Original Motion Picture Soundtrack – Phil Oakey, Giorgio Moroder"	"Together In Electric Dreams - Remastered / From ""Electric Dreams"" Original Motion Picture Soundtrack"	"Phil Oakey, Giorgio Moroder"
"This Girl (Kungs Vs. Cookin' On 3 Burners) – Kungs, Cookin' On 3 Burners"	This Girl (Kungs Vs. Cookin' On 3 Burners)	"Kungs, Cookin' On 3 Burners"
My Father's Eyes - 2015 Remaster – Eric Clapton	My Father's Eyes - 2015 Remaster	Eric Clapton
Tonight's The Kind Of Night – Noah And The Whale	Tonight's The Kind Of Night	Noah And The Whale
Don't Stop Believin' – Journey	Don't Stop Believin'	Journey
No Scrubs – TLC	No Scrubs	TLC
Nobody Does It Better – Carly Simon	Nobody Does It Better	Carly Simon
"Get Outta My Dreams, Get into My Car – Billy Ocean"	"Get Outta My Dreams, Get into My Car"	Billy Ocean
Heathens – Twenty One Pilots	Heathens	Twenty One Pilots
Glorious – Andreas Johnson	Glorious	Andreas Johnson
Closer – Ne-Yo	Closer	Ne-Yo
Lonely Boy – Andrew Gold	Lonely Boy	Andrew Gold
All That She Wants – Ace of Base	All That She Wants	Ace of Base
About You Now - Radio Edit – Sugababes	About You Now - Radio Edit	Sugababes
Respect – Aretha Franklin	Respect	Aretha Franklin
Sanctuary – Gabriella Cilmi	Sanctuary	Gabriella Cilmi
I'm Yours – Jason Mraz	I'm Yours	Jason Mraz
Say It Right - Main – Nelly Furtado	Say It Right - Main	Nelly Furtado
Ebeneezer Goode - Beat Edit – The Shamen	Ebeneezer Goode - Beat Edit	The Shamen
U Got 2 Let The Music - Brescia Edit – Cappella	U Got 2 Let The Music - Brescia Edit	Cappella
Sowing The Seeds Of Love – Tears For Fears	Sowing The Seeds Of Love	Tears For Fears
Single – Natasha Bedingfield	Single	Natasha Bedingfield
"For You (Fifty Shades Freed) (& Rita Ora) – Liam Payne, Rita Ora"	For You (Fifty Shades Freed) (& Rita Ora)	"Liam Payne, Rita Ora"
China In Your Hand - Single Version – T'Pau	China In Your Hand - Single Version	T'Pau
Let It Go – James Bay	Let It Go	James Bay
Zoom – Fat Larry's Band	Zoom	Fat Larry's Band
Running In The Family - Single Version – Level 42	Running In The Family - Single Version	Level 42
No Promises – Shayne Ward	No Promises	Shayne Ward
We Are Family – Sister Sledge	We Are Family	Sister Sledge
Walk on By – Dionne Warwick	Walk on By	Dionne Warwick
Harmony Hall – Vampire Weekend	Harmony Hall	Vampire Weekend
Two Doors Down – Mystery Jets	Two Doors Down	Mystery Jets
All She Wrote – Ross Copperman	All She Wrote	Ross Copperman
"Change (feat. Wale) – Daniel Merriweather, Wale"	Change (feat. Wale)	"Daniel Merriweather, Wale"
Electric Man - Radio Edit – Mansun	Electric Man - Radio Edit	Mansun
You Had Me – Joss Stone	You Had Me	Joss Stone
Magic – Ladyhawke	Magic	Ladyhawke
My Name Is Trouble – Keren Ann	My Name Is Trouble	Keren Ann
"I Know Him So Well – Elaine Paige, Barbara Dickson"	I Know Him So Well	"Elaine Paige, Barbara Dickson"
One Man Band – Leo Sayer	One Man Band	Leo Sayer
Matthew & Son - Stereo Version – Yusuf / Cat Stevens	Matthew & Son - Stereo Version	Yusuf / Cat Stevens
New in Town – Little Boots	New in Town	Little Boots
Everybody's Gone To War - Chris Lord-Alge Mix remastered – Nerina Pallot	Everybody's Gone To War - Chris Lord-Alge Mix remastered	Nerina Pallot
Superstar – Jamelia	Superstar	Jamelia
Smooth Operator - Single Version – Sade	Smooth Operator - Single Version	Sade
On Standby – Shed Seven	On Standby	Shed Seven
Never Forget You – Noisettes	Never Forget You	Noisettes
(Sittin' On) the Dock of the Bay – Otis Redding	(Sittin' On) the Dock of the Bay	Otis Redding
Geno - 2000 Remaster – Dexys Midnight Runners	Geno - 2000 Remaster	Dexys Midnight Runners
Fight Test – The Flaming Lips	Fight Test	The Flaming Lips
Open Your Window – Reverend And The Makers	Open Your Window	Reverend And The Makers
Let Me Be The One – Blessid Union Of Souls	Let Me Be The One	Blessid Union Of Souls
Teardrop – Massive Attack	Teardrop	Massive Attack
Hello Conscience – The Zutons	Hello Conscience	The Zutons
Tinseltown In The Rain – The Blue Nile	Tinseltown In The Rain	The Blue Nile
Don't You Want Me - Remastered – The Human League	Don't You Want Me - Remastered	The Human League
Lonely Girl – Sandi Thom	Lonely Girl	Sandi Thom
Don't Walk Away – Jade	Don't Walk Away	Jade
"Love Lies (with Normani) – Khalid, Normani"	Love Lies (with Normani)	"Khalid, Normani"
The Whole of the Moon – The Waterboys	The Whole of the Moon	The Waterboys
It Must Be Love – Madness	It Must Be Love	Madness
Faithful – Go West	Faithful	Go West
Let's Stick Together – Bryan Ferry	Let's Stick Together	Bryan Ferry
Do You Miss Me Much – Craig David	Do You Miss Me Much	Craig David
Level of Concern – Twenty One Pilots	Level of Concern	Twenty One Pilots
Free Me – Emma Bunton	Free Me	Emma Bunton
Rise Like A Phoenix – Conchita Wurst	Rise Like A Phoenix	Conchita Wurst
Runaway – The Corrs	Runaway	The Corrs
Hedonism - Just Because You Feel Good – Skunk Anansie	Hedonism - Just Because You Feel Good	Skunk Anansie
Fader – The Temper Trap	Fader	The Temper Trap
Happiness – Alexis Jordan	Happiness	Alexis Jordan
Return To Innocence – Enigma	Return To Innocence	Enigma
Cars – Gary Numan	Cars	Gary Numan
Cheerleader – OMI	Cheerleader	OMI
Dedicated Follower of Fashion - Mono Single – The Kinks	Dedicated Follower of Fashion - Mono Single	The Kinks
Perfect Moment – Martine McCutcheon	Perfect Moment	Martine McCutcheon
Goin' Back – Dusty Springfield	Goin' Back	Dusty Springfield
It's Raining Men - Single Version – The Weather Girls	It's Raining Men - Single Version	The Weather Girls
Calling All The Heroes – It Bites	Calling All The Heroes	It Bites
